title,mal_id,type,chapters,volumes,status,genres,score,rank,author,serializations
Spy x Family,119161,Manga,,,Publishing,"['Action', 'Comedy']",8.65,64.0,"['Endou, Tatsuya']",Shounen Jump+
Subete no Jinrui wo Hakai suru. Sorera wa Saisei Dekinai.,116539,Manga,,,Publishing,[],8.08,557.0,"['Yokota, Takuma', 'Ise, Katsura']",Shounen Ace
Sun-Ken Rock,8848,Manga,181.0,25.0,Finished,"['Action', 'Comedy', 'Drama', 'Ecchi']",7.97,742.0,['Boichi'],Young King
Survival: Shounen S no Kiroku,89413,Manga,96.0,5.0,Finished,['Drama'],6.92,8623.0,"['Saitou, Takao', 'Miyagawa, Akira']",Manga Box
Sword Art Online: Progressive,43921,Light Novel,,,Publishing,"['Action', 'Adventure', 'Fantasy', 'Romance']",8.28,303.0,"['BUNBUN', 'Kawahara, Reki']",Dengeki Bunko Magazine
Taimashi to Akuma-chan,112352,Manga,60.0,4.0,Finished,['Fantasy'],7.47,2709.0,"['Tonami, Shou']",Dengeki Daioh
Tajuu Jinkaku Tantei Psycho,740,Manga,155.0,24.0,Finished,['Mystery'],7.74,1360.0,"['Tajima, Shouu', 'Otsuka, Eiji']",Young Ace
Tantei no Tantei,106199,Manga,22.0,2.0,Finished,"['Action', 'Drama', 'Mystery']",6.65,11674.0,"['Kiyohara, Hiro', 'Matsuoka, Keisuke']",Young Magazine (Weekly)
The Boxer,141120,Manhwa,,,Publishing,"['Action', 'Drama', 'Sports']",8.35,224.0,"['Jeong, Ji-Hoon']",Naver Webtoon
Tomodachi Game,62795,Manga,,,Publishing,[],8.23,351.0,"['Yamaguchi, Mikoto', 'Satou, Yuuki']",Bessatsu Shounen Magazine
Tonikaku Kawaii,112589,Manga,,,Publishing,"['Comedy', 'Romance']",8.25,335.0,"['Hata, Kenjirou']",Shounen Sunday
Toshiue Elite Onna Kishi ga Boku no Mae de dake Kawaii,123094,Manga,,,Publishing,"['Comedy', 'Fantasy', 'Romance']",7.05,7005.0,"['Takata', 'Yoshino, Sousuke']",Young Ace UP
Tougen Anki,127436,Manga,,,Publishing,"['Action', 'Fantasy', 'Supernatural']",7.18,5400.0,"['Urushibara, Yura']",Shounen Champion (Weekly)
Trillion Game,132071,Manga,,,Publishing,['Drama'],7.52,2466.0,"['Inagaki, Riichiro', 'Ikegami, Ryoichi']",Big Comic Superior
True Beauty,130538,Manhwa,,,Publishing,"['Comedy', 'Drama', 'Romance']",6.55,12590.0,['Yaongyi'],Naver Webtoon
Urasekai Picnic,110766,Manga,,,Publishing,"['Action', 'Fantasy', 'Mystery']",7.65,1713.0,"['Mizuno, Eita', 'Miyazawa, Iori']",Shounen Gangan
Usotsuki Satsuki wa Shi ga Mieru,132078,Manga,,,Publishing,"['Horror', 'Supernatural']",7.58,2067.0,['Ryouko'],MangaONE
Viral Hit,139164,Manhwa,,,Publishing,['Action'],8.08,560.0,"['Kim, Jung-Hyun', 'Park, Tae-Jun']",Naver Webtoon
White Blood,131843,Manhwa,,,Finished,"['Action', 'Romance', 'Supernatural']",7.96,750.0,"['Im, Lina']",Naver Webtoon
