title,mal_id,type,chapters,volumes,status,genres,score,rank,author,serializations
Darker than Black: Shikkoku no Hana,14975,Manga,33,4,Finished,"['Action', 'Drama', 'Sci-Fi', 'Supernatural']",7.86,996,"['Iwahara, Yuji']",Young Gangan
Eureka Seven AO,33125,Manga,20,5,Finished,"['Action', 'Adventure', 'Drama', 'Romance', 'Sci-Fi']",7.06,6841,"['Katou, Yuuichi']",Shounen Ace
Eureka Seven AO: Save A Prayer,36593,Manga,10,2,Finished,"['Action', 'Sci-Fi']",,38981,"['Fudou, Ran', 'Waba, Akiko']",Newtype Ace
Eureka Seven nAnO,48871,Manga,13,1,Finished,['Comedy'],6.56,12530,['Katsuwo'],4-koma Nano Ace
Eureka Seven: Gravity Boys and Lifting Girl,4940,Manga,14,2,Finished,"['Comedy', 'Drama', 'Sci-Fi']",6.79,10043,"['Kizuki, Miki', 'Satou, Dai']",Comptiq
Fukukaichou Ganbaru.,99696,Manga,14,1,Finished,"['Comedy', 'Ecchi']",6.18,14742,['ReDrop'],Young Magazine the 3rd
Full Metal Alchemist: Prototype,32409,One-shot,1,,Finished,"['Action', 'Adventure', 'Drama', 'Fantasy']",7.37,3518,"['Arakawa, Hiromu']",Shounen Gangan
Ga-Rei,1102,Manga,56,12,Finished,"['Action', 'Comedy', 'Supernatural']",7.65,1736,"['Segawa, Hajime']",Shounen Ace
Gakuen K,62001,Manga,22,4,Finished,[],6.86,9229,"['Suzuki, Jirou', 'GoRA', 'Suzuki, Suzu']",GFantasy
Gantz/Minus,14986,Light Novel,8,1,Finished,"['Action', 'Sci-Fi', 'Supernatural']",7.29,4223,"['Oku, Hiroya', 'Kozaki, Yuusuke', 'Kusakabe, Masatoshi']",Young Jump
Gantz/Nishi,25824,One-shot,1,,Finished,"['Sci-Fi', 'Supernatural']",6.5,13042,"['Oku, Hiroya']",Young Jump
GE: Good Ending,19885,One-shot,1,,Finished,"['Romance', 'Sports']",7.42,3085,"['Sasuga, Kei']",Shounen Magazine (Weekly)
High School DxD: Akuma no Oshigoto,94864,Manga,6,1,Finished,"['Comedy', 'Ecchi']",7.21,5069,"['Ishibumi, Ichiei', 'Sosei Soda']",Age Premium
High School DxD: Asia & Koneko no Himitsu no Keiyaku!?,34485,Manga,6,1,Finished,"['Comedy', 'Ecchi']",7.25,4700,['Hiroichi'],Dragon Age
Higurashi no Naku Koro ni Jan: Tsubamegaeshi-hen,24355,Manga,14,2,Finished,['Mystery'],7.33,3837,"['Yamada, J-ta']",Kindai Mahjong
Higurashi no Naku Koro ni: Hirukowashi-hen,14411,Manga,7,1,Finished,"['Comedy', 'Mystery']",7.22,4971,"['Ryukishi07', 'Kazuki, Rechi']",Gangan Online
Higurashi no Naku Koro ni: Kokoroiyashi-hen,12292,Manga,7,1,Finished,"['Comedy', 'Drama', 'Horror', 'Mystery']",7.2,5165,"['Kagesaki, Yuna', 'Ryukishi07']",Comp Ace
Hikari no Machi,8204,Manga,9,1,Finished,"['Drama', 'Slice of Life']",7.45,2922,"['Asano, Inio']",Sunday Gene-X
Hinamizawa Teiryuujo: Higurashi no Naku Koro ni Genten,30139,Manga,10,1,Finished,"['Comedy', 'Horror', 'Mystery']",6.87,9170,"['Tomozo', 'Ryukishi07']",Big Gangan
Hunter x Hunter: Kurapika Tsuioku-hen,45996,Manga,2,1,Finished,"['Adventure', 'Fantasy']",7.61,1927,"['Togashi, Yoshihiro']",Shounen Jump (Weekly)
Ibitsu,16688,Manga,15,2,Finished,['Horror'],7.06,6852,"['Ryou, Haruto']",Young Gangan
Isshuukan Friends.,43967,Manga,41,7,Finished,"['Comedy', 'Slice of Life']",7.55,2238,"['Hazuki, Matcha']",Gangan Joker
Jormungand,4611,Manga,70,11,Finished,"['Action', 'Drama']",7.83,1057,"['Takahashi, Keitarou']",Sunday Gene-X
K-On! College,51855,Manga,14,1,Finished,"['Comedy', 'Slice of Life']",7.6,2003,['Kakifly'],Manga Time Kirara
K-On! Highschool,51857,Manga,14,1,Finished,"['Comedy', 'Slice of Life']",7.57,2135,['Kakifly'],Manga Time Kirara Carat
K: Countdown,82091,Manga,8,2,Finished,"['Action', 'Supernatural']",7.59,2030,"['Kuroe, Yui', 'GoRA']",ARIA
K: Days of Blue,59675,Manga,10,2,Finished,"['Action', 'Supernatural']",7.68,1595,"['Kuroe, Yui', 'GoRA']",ARIA
K: Lost Small World,73451,Manga,13,3,Finished,['Supernatural'],7.8,1156,"['GoRA', 'Ookita, Yoru']",Hatsu Kiss
K: Memory of Red,41435,Manga,16,3,Finished,"['Action', 'Supernatural']",8.1,527,"['Kuroe, Yui', 'GoRA']",ARIA
K: Missing Kings,88483,Manga,5,1,Finished,"['Action', 'Supernatural']",7.34,3760,"['Shiota, Haruto', 'GoRA', 'Furuhashi, Hideyuki']",GFantasy
K: Stray Dog Story,45451,Manga,5,1,Finished,"['Action', 'Supernatural']",7.21,5085,"['GoRA', 'Minato, Saki']",good! Afternoon
K: The First,61999,Manga,16,3,Finished,['Supernatural'],7.46,2830,"['GoRA', 'Furuhashi, Hideyuki', 'Kimura, Rin']",GFantasy
Kakegurui Midari,104547,Manga,59,4,Finished,['Drama'],7.02,7315,"['Hiiragi, Yuuichi', 'Kawamoto, Homura']",Manga UP!
Kami nomi zo Shiru Sekai: On the Train+Pilot Films,79883,Manga,4,1,Finished,"['Comedy', 'Fantasy', 'Romance', 'Sci-Fi']",7.15,5685,"['Wakaki, Tamiki']",Club Sunday
Keijo!!!!!!!!,56505,Manga,178,18,Finished,"['Sports', 'Ecchi']",7.3,4108,"['Sorayomi, Daichi']",Shounen Sunday
Kimi wa Boku no Taiyou,12294,One-shot,1,,Finished,['Slice of Life'],7.01,7517,"['Yumeka, Sumomo']",Mugen Anthology Series
Kodomo no Jikan,582,Manga,93,13,Finished,"['Comedy', 'Drama', 'Romance', 'Slice of Life', 'Ecchi']",7.84,1034,"['Watashiya, Kaworu']",Comic High!
Kokoro Kikai.,2505,Manga,2,1,Finished,['Boys Love'],7.34,3805,"['Yumeka, Sumomo']",Craft
Koukyoushihen Eureka seveN,1037,Manga,23,6,Finished,"['Action', 'Adventure', 'Drama', 'Romance', 'Sci-Fi']",7.79,1184,"['Kondou, Kazuma', 'Kataoka, Jinsei']",Shounen Ace
Liar Game: Roots of A,12999,Manga,6,1,Finished,['Mystery'],7.29,4216,"['Kaitani, Shinobu']",Young Jump
Liar Game: Roots of A #2,24012,One-shot,1,,Finished,"['Drama', 'Mystery']",7.06,6790,"['Kaitani, Shinobu']",Young Jump (Monthly)
Love Letter,9403,Manga,4,1,Finished,"['Drama', 'Romance', 'Supernatural']",7.66,1695,"['Seo, Kouji']",Shounen Magazine (Weekly)
Magical Pâtissière Kosaki-chan!!,83187,Manga,43,4,Finished,"['Action', 'Comedy']",6.82,9799,"['Tsutsui, Taishi']",Shounen Jump+
Mayoe! Nanatsu no Taizai Gakuen!,75055,Manga,47,4,Finished,"['Comedy', 'Fantasy']",7.08,6623,"['Tamaki, Juuichi']",Bessatsu Shounen Magazine
Mayoi Neko Overrun!,17606,Manga,10,2,Finished,"['Comedy', 'Romance', 'Ecchi']",7,7687,"['Yabuki, Kentarou', 'Matsu, Tomohiro']",Jump SQ.
Mirai Nikki: Mosaic Keshi,101858,Manga,8,1,Finished,['Comedy'],6.83,9662,"['Esuno, Sakae', 'Takeuchi, Motoki']",4-koma Nano Ace
Mirai Nikki: Paradox,13277,Manga,5,1,Finished,"['Action', 'Supernatural']",7.28,4366,"['Esuno, Sakae']",Ace Assault
Mujaki no Rakuen,37885,Manga,93,13,Finished,"['Comedy', 'Romance', 'Ecchi']",6.88,9029,['Uran'],Young Animal Arashi
Mushishi Tokubetsu-hen: Hihamukage,62023,Manga,2,1,Finished,"['Fantasy', 'Mystery', 'Supernatural']",8.33,240,"['Urushibara, Yuki']",Afternoon
Mushoku Tensei: 4-koma ni Nattemo Honki Dasu,125735,Manga,25,3,Finished,"['Comedy', 'Fantasy']",7.35,3693,"['Rifujin na Magonote', 'Nogiwa, Kaede']","Comic Dengeki Daioh ""g"""
Nanairo Sekai,3276,Manga,4,,Finished,"['Boys Love', 'Romance']",7.82,1107,"['Yumeka, Sumomo']",Melody
Nanatsu no Taizai Production,93979,Manga,76,4,Finished,['Comedy'],6.93,8414,"['Sakamoto, Chiemi']",ARIA
Naruto Gaiden: Michita Tsuki ga Terasu Michi,97372,One-shot,1,,Finished,"['Action', 'Adventure', 'Fantasy']",7.18,5374,"['Kishimoto, Masashi']",Shounen Jump (Weekly)
Neo Kiseijuu f,80797,Manga,15,1,Finished,"['Action', 'Horror', 'Sci-Fi']",6.53,12814,"['Yuki, Kaori', 'Tooyama, Ema', 'Narushima, Yuri', 'Obata, Yuuki', 'Watanabe, Asia', 'Rinno, Miki', 'Kindaichi, Renjuurou', 'Nakamura, Asumiko', 'mikimaki', 'Kojima, Lalako', 'Shinjou, Hajime', 'Kuroe, Yui', 'Kashio', 'Suruga, Hikaru', 'Kuze, Banko']",ARIA
Neon Genesis Evangelion: Campus Apocalypse,5178,Manga,22,4,Finished,"['Action', 'Sci-Fi']",6.89,8929,"['Min, Min']",Asuka (Monthly)
Nijigahara Holograph,1373,Manga,15,1,Finished,['Drama'],7.57,2123,"['Asano, Inio']",Quick Japan
"No Game No Life, desu!",89961,Manga,21,4,Finished,['Comedy'],7.24,4746,"['Yuizaki, Kazuya']",Comic Alive
Nozo x Kimi,24698,Manga,63,8,Finished,"['Comedy', 'Romance', 'Ecchi']",7.08,6614,"['Honna, Wakou']",Shounen Sunday
Oniichan dakedo Ai sae Areba Kankeinai yo ne!,30389,Manga,75,7,Finished,"['Comedy', 'Romance', 'Ecchi']",6.79,10124,"['Suzuki, Daisuke', 'Rokushou, Kokuu']",Comic Alive
Oniichan no Koto ga Sukisugite Nyan Nyan Shitai Brocon Imouto dakedo Sunao ni Narenai no,48749,Manga,14,2,Finished,"['Romance', 'Supernatural', 'Ecchi']",6.38,13931,"['Ooha, Maiko']",Young Ace
Petit Eva Bokura Tanken Doukoukai,25633,Manga,19,1,Finished,[],,26807,"['Hamamoto, Ryuusuke']",Shounen Ace
Petit Eva: Evangelion@School,25632,Manga,13,1,Finished,[],6.32,14217,"['Hamamoto, Ryuusuke']",Shounen Ace
Plastic Memories: Say to Good-bye,90174,Manga,20,3,Finished,"['Drama', 'Sci-Fi']",7.86,984,['Yuuyuu'],Dengeki G's Comic
Postman,31093,One-shot,1,,Finished,"['Action', 'Drama']",6.72,10899,['Kohske'],Shounen Gangan
